Player,Age,Team,Estimated Value
Mike Tresor,26,Burnley FC,€6M
Ethan Pinnock,32,Brentford FC,€5.9M
Gabriel Slonina,21,Chelsea,€5.8M
Chris Wood ,34,Nottingham Forest,€5.8M
Luca Netz,22,Nottingham Forest,€5.8M
Victor Lindelöf,31,Aston Villa,€5.7M
Casemiro,34,Manchester United,€5.7M
Nilson Angulo,22,Sunderland AFC,€5.7M
Bertrand Traoré,30,Sunderland AFC,€5.4M
José Sá,33,Wolverhampton Wanderers,€5.3M
Reinildo Mandava,32,Sunderland AFC,€5.3M
Sam Johnstone,32,Wolverhampton Wanderers,€5.3M
Stefan Ortega,33,Nottingham Forest,€5.2M
Adama Traoré,30,West Ham United,€5.2M
Hjalmar Ekdal,27,Burnley FC,€5.2M
Adam Webster,31,Brighton & Hove Albion,€5.1M
Fabian Schär,34,Newcastle United,€5M
Mark Travers,26,Everton FC,€5M
Walter Benítez,33,Crystal Palace,€5M
Harrison Reed,31,Fulham FC,€5M
Joe Worrall,29,Burnley FC,€4.9M
Danny Welbeck,35,Brighton & Hove Albion,€4.7M
Tyrone Mings,32,Aston Villa,€4.7M
Jordan Beyer,25,Burnley FC,€4.6M
Kaye Furo,19,Brentford FC,€4.5M
Axel Tuanzebe,28,Burnley FC,€4.3M
Jack Hinshelwood,20,Brighton & Hove Albion,€4.1M
Kyle Walker,35,Burnley FC,€3.9M
Raúl Jiménez,34,Fulham FC,€3.9M
Borna Sosa,28,Crystal Palace,€3.8M
Tyler Fredricson,21,Manchester United,€3.8M
Jordan Henderson,35,Brentford FC,€3.8M
Connor Roberts,30,Burnley FC,€3.8M
Michael Keane,33,Everton FC,€3.6M
Harrison Armstrong,19,Everton FC,€3.4M
Lewis Dunk,34,Brighton & Hove Albion,€3.2M
Pablo ,22,West Ham United,€2.7M
Pascal Groß,34,Brighton & Hove Albion,€2.6M
Ross Barkley,32,Aston Villa,€2.5M
Matt Doherty,34,Wolverhampton Wanderers,€2.4M
Ben Davies ,32,Tottenham,€2.3M
Kieran Trippier,35,Newcastle United,€2.3M
Hákon Valdimarsson,24,Brentford FC,€2.3M
Abdoullah Ba,22,Sunderland AFC,€2.2M
Freddie Woodman,29,Liverpool FC,€2.2M
Marco Bizot,34,Aston Villa,€2.2M
Josh Dasilva,27,Brentford FC,€2.1M
